Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,multiple_deliveries,City,distance,time_diff_minutes,Time_taken (min)
5137,29.0,4.6,Stormy,Jam,2,Snack,1.0,Metropolitian,13.974941749992782,41,24
36424,23.0,4.8,Cloudy,Low,2,Snack,1.0,Urban,4.593077489530641,33,13
41414,32.0,4.7,Sunny,High,2,Drinks,1.0,Urban,1.573027382944863,0,16
8446,25.0,4.9,Stormy,Jam,1,Buffet,0.0,Metropolitian,12.4384890207563,10,24
8344,38.0,4.7,Windy,Medium,1,Meal,1.0,Metropolitian,4.529583557387263,33,34
43825,25.0,4.1,Fog,Jam,2,Buffet,1.0,Urban,13.766517265279528,49,36
32209,38.0,4.9,Fog,Low,1,Meal,0.0,Metropolitian,9.43816345911881,53,19
3458,33.0,4.7,Cloudy,High,1,Drinks,1.0,Urban,3.065297110015864,46,29
42302,22.0,4.6,Sandstorms,Medium,2,Snack,1.0,Metropolitian,20.44934725735322,47,15
40233,38.0,4.2,Stormy,Low,0,Meal,1.0,Urban,3.110101360117415,43,21
30544,25.0,4.6,Windy,Jam,1,Meal,1.0,Urban,8.940983371309436,0,18
6875,29.566910587697237,4.6,Stormy,Jam,2,Meal,1.0,Metropolitian,4.529586072977762,34,29
28440,21.0,4.5,Cloudy,Low,0,Snack,1.0,Metropolitian,10.870846282801171,37,21
11953,35.0,4.9,Windy,Jam,1,Buffet,1.0,Metropolitian,9.315761976664136,0,25
10522,23.0,4.7,Fog,Low,1,Drinks,0.0,Metropolitian,3.0210688107845125,0,16
14675,22.0,5.0,Sandstorms,Jam,1,Snack,1.0,Metropolitian,7.865136435552706,36,18
10668,32.0,5.0,Fog,Medium,2,Buffet,1.0,Metropolitian,6.082800436270463,40,18
7764,35.0,4.5,Cloudy,Medium,0,Snack,1.0,Urban,5.9939777684446565,25,26
40357,20.0,4.8,Windy,Medium,2,Drinks,1.0,Metropolitian,12.16583018950039,58,20
42504,27.0,4.9,Sandstorms,Low,0,Meal,0.0,Metropolitian,20.25940601214379,33,18
3560,30.0,4.9,Windy,Low,2,Buffet,1.0,Metropolitian,13.77007830460284,12,25
5564,28.0,4.7,Sunny,Medium,0,Meal,0.0,Metropolitian,4.665122256991299,38,17
32932,29.566910587697237,4.6,Sandstorms,Low,1,Snack,1.0,Metropolitian,7.765634187283158,18,19
34314,26.0,4.7,Cloudy,Jam,0,Meal,1.0,Metropolitian,9.078201444608636,36,28
31230,20.0,4.6,Sunny,Jam,1,Drinks,1.0,Metropolitian,19.694746597858227,55,22
41796,27.0,5.0,Windy,Jam,1,Snack,0.0,Metropolitian,17.103756124842064,40,25
40704,39.0,4.8,Sunny,Medium,0,Drinks,0.0,Metropolitian,12.584217051037724,52,25
1418,29.566910587697237,4.6,Fog,Low,0,Snack,1.0,Metropolitian,4.562358055268467,58,28
3163,20.0,4.8,Sandstorms,Medium,0,Meal,1.0,Metropolitian,9.43816345911881,52,16
