,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,multiple_deliveries,City,distance,time_diff_minutes,Time_taken (min)
0,36.0,4.2,Fog,Jam,2,Snack,3.0,Metropolitian,10.283809370245676,27,46
1,21.0,4.7,Stormy,High,1,Meal,1.0,Metropolitian,6.244278286745412,20,23
2,23.0,4.7,Sandstorms,Medium,1,Drinks,1.0,Metropolitian,13.79218855819285,47,21
3,34.0,4.3,Sandstorms,Low,0,Buffet,0.0,Metropolitian,2.931177674502747,49,20
4,24.0,4.7,Fog,Jam,1,Snack,1.0,Metropolitian,19.40270732481342,30,41
5,29.0,4.5,Sandstorms,Jam,2,Buffet,1.0,Metropolitian,13.768298046033175,55,20
6,35.0,4.0,Windy,High,1,Meal,1.0,Metropolitian,6.2199531604237,20,33
7,33.0,4.2,Sandstorms,Jam,2,Snack,1.0,Metropolitian,16.85522949262582,50,40
8,34.0,4.9,Cloudy,Jam,0,Snack,1.0,Metropolitian,10.76048569832759,40,41
9,21.0,4.7,Windy,Jam,0,Meal,1.0,Urban,4.54199977701845,6,15
10,25.0,4.1,Sandstorms,Jam,0,Snack,2.0,Metropolitian,12.259923903150124,0,36
11,31.0,4.7,Sandstorms,Low,2,Meal,0.0,Metropolitian,19.624898111742095,52,26
12,37.0,5.0,Sandstorms,Low,1,Snack,1.0,Metropolitian,1.5586213982724693,53,20
13,33.0,4.3,Windy,Jam,2,Meal,1.0,Metropolitian,20.18697026875735,49,39
14,25.0,4.0,Cloudy,High,1,Buffet,1.0,Metropolitian,6.118891924483678,47,34
15,29.0,4.5,Sunny,Medium,2,Meal,1.0,Metropolitian,17.080954813692976,43,15
16,27.0,5.0,Stormy,Jam,0,Snack,0.0,Urban,4.471689812771425,45,18
17,35.0,4.3,Cloudy,Low,1,Drinks,0.0,Metropolitian,13.686339627172,3,38
18,32.0,4.0,Windy,Jam,0,Buffet,1.0,Metropolitian,13.97756914980624,1,47
19,23.0,4.8,Windy,Low,2,Buffet,0.0,Urban,16.858909459324583,48,12
20,31.0,4.8,Sandstorms,Low,2,Drinks,1.0,Metropolitian,4.675639451880366,47,26
21,36.0,4.1,Stormy,Low,0,Drinks,1.0,Urban,7.604003089316599,47,22
22,26.0,4.3,Sandstorms,Low,0,Buffet,0.0,Urban,7.722747996420642,58,21
23,38.0,4.9,Cloudy,High,1,Drinks,1.0,Urban,6.17757493195117,38,25
24,32.0,3.5,Stormy,Jam,1,Snack,0.0,Urban,17.303295941503084,46,35
25,32.0,4.6,Cloudy,Low,2,Drinks,1.0,Metropolitian,19.920938633090486,47,30
26,33.0,4.9,Sunny,Medium,1,Snack,1.0,Metropolitian,10.727884415052161,24,22
27,20.0,4.7,Windy,High,1,Snack,0.0,Urban,6.129759118031218,59,10
28,20.0,4.8,Sandstorms,Low,2,Meal,1.0,Metropolitian,1.5208345877118583,0,19
29,35.0,5.0,Sunny,Low,2,Snack,1.0,Urban,3.0744185861063253,24,11
30,26.0,4.9,Stormy,Low,2,Buffet,0.0,Metropolitian,3.1061062480615287,28,11
31,22.0,4.8,Fog,Low,1,Snack,1.0,Metropolitian,10.87083836385875,0,28
32,35.0,4.3,Cloudy,Medium,1,Snack,1.0,Metropolitian,10.868875517170368,52,33
33,29.566910587697233,4.6,Cloudy,Medium,1,Drinks,1.0,Metropolitian,12.240564998992708,43,33
34,37.0,4.7,Sandstorms,Jam,0,Snack,3.0,Metropolitian,13.686811547783508,34,52
35,28.0,4.6,Stormy,Jam,1,Snack,1.0,Metropolitian,16.8315237838484,9,22
36,37.0,4.9,Fog,Low,1,Snack,1.0,Urban,3.0281872486432895,0,16
37,23.0,4.9,Sunny,Jam,2,Drinks,0.0,Metropolitian,9.17807414387102,41,11
38,27.0,4.9,Windy,Medium,1,Drinks,1.0,Metropolitian,9.31799338686387,0,25
39,37.0,4.8,Cloudy,Medium,0,Drinks,1.0,Urban,6.210970252721151,31,26
40,33.0,5.0,Sunny,High,2,Snack,1.0,Metropolitian,1.5208219980988367,41,18
41,31.0,4.9,Fog,Medium,1,Snack,1.0,Metropolitian,6.03912061309758,5,16
42,31.0,4.8,Stormy,Low,2,Drinks,1.0,Metropolitian,17.084026875055873,37,23
43,25.0,5.0,Cloudy,Low,0,Snack,0.0,Metropolitian,4.719082053000275,12,15
44,28.0,4.8,Sandstorms,Jam,0,Drinks,1.0,Metropolitian,12.468242130566304,35,36
45,31.0,4.7,Cloudy,Low,2,Snack,0.0,Metropolitian,9.124289402474727,33,16
46,24.0,4.7,Sunny,Medium,0,Buffet,0.0,Urban,14.027634290613308,0,19
47,39.0,4.6,Sunny,Low,1,Snack,1.0,Metropolitian,13.396816518470379,0,27
48,39.0,4.2,Fog,Jam,2,Snack,1.0,Semi-Urban,12.584217051037724,45,49
49,32.0,4.5,Windy,Low,2,Buffet,0.0,Metropolitian,1.4903948859889404,44,20
50,36.0,4.7,Cloudy,Jam,1,Snack,1.0,Metropolitian,9.43816345911881,5,30
